input,output
"Argyle: But you ever wonder why the wheels aren't wood, man? Or metal? So people don't get hurt when they get shmacked.",Jonathan: Oh.
Jonathan: Oh.,"Argyle: Yeah. Because it happens more than you think, man. Roller-skate attacks. Man. Hey, at least it wasn't an ice skate. That nose would've been sliced clean off, man."
"Argyle: Yeah. Because it happens more than you think, man. Roller-skate attacks. Man. Hey, at least it wasn't an ice skate. That nose would've been sliced clean off, man.",Jonathan: It could've been so much worse.
Jonathan: It could've been so much worse.,"Argyle: So much worse. In the grand scheme of things, it's just a little blip."
"Argyle: So much worse. In the grand scheme of things, it's just a little blip.","Jonathan: That's a funny word, man."
"Jonathan: That's a funny word, man.",Argyle: 'Blip.'
Argyle: 'Blip.',Jonathan: 'Blip.'
Jonathan: 'Blip.',"Argyle: Blip, blip, blip, blip, blip, blip, blip."
"Argyle: Blip, blip, blip, blip, blip, blip, blip.",Will: Mom?
Will: Mom?,"Murray: Well, well! Aren't you lot a sight for sore eyes, huh? Hi, Murray. You kids like risotto?"
"Murray: Well, well! Aren't you lot a sight for sore eyes, huh? Hi, Murray. You kids like risotto?",Jonathan: Yeah.
Jonathan: Yeah.,"Murray: There I was, headed down the I-5, going to see a client in Ventura. I'm looking for a motel to stay for the night, and suddenly, bam, it hits me. 'Didn't the Byers move here?' Small world, isn't it? It's a small world. So I thought, 'Hey, you know what? Why don't I drop in, say hello to my old friends?'"
"Murray: There I was, headed down the I-5, going to see a client in Ventura. I'm looking for a motel to stay for the night, and suddenly, bam, it hits me. 'Didn't the Byers move here?' Small world, isn't it? It's a small world. So I thought, 'Hey, you know what? Why don't I drop in, say hello to my old friends?'",Joyce: It's so sweet of you.
Joyce: It's so sweet of you.,Murray: Sweeter of you to let me stay. And he cooks.
Murray: Sweeter of you to let me stay. And he cooks.,"Joyce: Mm, and cleans. A regular little housewife."
"Joyce: Mm, and cleans. A regular little housewife.","Murray: You should stay. I'd be tempted, Joyce, except, you know, you have that, uh… Right, that business trip."
"Murray: You should stay. I'd be tempted, Joyce, except, you know, you have that, uh… Right, that business trip.",Will: Business trip? What business trip?
Will: Business trip? What business trip?,Joyce: Oh my gosh. I almost forgot to tell you guys. This thing came up at work… Can you pass me the olive oil?
Joyce: Oh my gosh. I almost forgot to tell you guys. This thing came up at work… Can you pass me the olive oil?,Murray: That's wine.
Murray: That's wine.,Joyce: And it turns out I have to go to a conference tomorrow. In Alaska.
Joyce: And it turns out I have to go to a conference tomorrow. In Alaska.,Will: Alaska? Tomorrow?
Will: Alaska? Tomorrow?,"Joyce: Crazy, right? That's where they're based, the Britannicas. Joan and Brian Britannica."
"Joyce: Crazy, right? That's where they're based, the Britannicas. Joan and Brian Britannica.",Murray: Mm.
Murray: Mm.,"Argyle: So do Eskimos, like, still live in igloos, or, uh, are they, like, fully-blown, like, living in the… in the suburbs now?"
"Argyle: So do Eskimos, like, still live in igloos, or, uh, are they, like, fully-blown, like, living in the… in the suburbs now?",Will: Who is this?
Will: Who is this?,"Joyce: So, Jonathan, this means you're gonna have to, you know, take charge while I'm gone."
"Joyce: So, Jonathan, this means you're gonna have to, you know, take charge while I'm gone.",Murray: Yeah.
Murray: Yeah.,Jonathan: Wait. What?
Jonathan: Wait. What?,Will: What's going on? Your mom's going to Alaska.
Will: What's going on? Your mom's going to Alaska.,Jonathan: You're going to Alaska?
Jonathan: You're going to Alaska?,Argyle: Mm-hmm.
Argyle: Mm-hmm.,Will: What's going on in Alaska?
Will: What's going on in Alaska?,Jonathan: The Britannicas are there.
Jonathan: The Britannicas are there.,Will: The Britannicas?
Will: The Britannicas?,"Murray: Jonathan, what is wrong with you?"
"Murray: Jonathan, what is wrong with you?",Argyle: I think I know what's wrong with him. We just had a super stressful day.
Argyle: I think I know what's wrong with him. We just had a super stressful day.,"Murray: Stress, huh?"
"Murray: Stress, huh?",Argyle: This girl got shmacked in the head today at the roller rink.
Argyle: This girl got shmacked in the head today at the roller rink.,Murray: Shmacked?
Murray: Shmacked?,"Argyle: Yeah, one of those vicious skate attacks."
"Argyle: Yeah, one of those vicious skate attacks.",Murray: A skate attack?
Murray: A skate attack?,"Jonathan: Yeah, but it wasn't an ice skate. It was… It was a plastic skate."
"Jonathan: Yeah, but it wasn't an ice skate. It was… It was a plastic skate.","Argyle: No, it was, like, rubber. Rubber. You know what? I'm not sure. Anyway, she looked like she's gonna be fine."
"Argyle: No, it was, like, rubber. Rubber. You know what? I'm not sure. Anyway, she looked like she's gonna be fine.",Jonathan: She's totally fine.
Jonathan: She's totally fine.,Will: She didn't look fine.
Will: She didn't look fine.,"Joyce: El, aren't you gonna finish your...? What…? What is going on, you guys?"
"Joyce: El, aren't you gonna finish your...? What…? What is going on, you guys?","Murray: Okay, I, uh, I sense tension. Is it the risotto? Everyone hates the risotto?"
"Murray: Okay, I, uh, I sense tension. Is it the risotto? Everyone hates the risotto?","Joyce: Absolutely not. No, it's incredible."
"Joyce: Absolutely not. No, it's incredible.","Argyle: This risotto is shmackin', dude."
"Argyle: This risotto is shmackin', dude.",Will: Still have no idea who he is.
Will: Still have no idea who he is.,Mike: What did you do? What did you do?
Mike: What did you do? What did you do?,Eleven: Angela!
Eleven: Angela!,Brenner: What have you done? What have you done?
Brenner: What have you done? What have you done?,boy1: He sees all this? He sees us? He'll shit his pants and cry for Mommy. This guy's no fighter.
boy1: He sees all this? He sees us? He'll shit his pants and cry for Mommy. This guy's no fighter.,boy2: Hope he tries something. Gives me a reason.
boy2: Hope he tries something. Gives me a reason.,"boy3: Hell, yeah. Well, well, look who's decided to join."
"boy3: Hell, yeah. Well, well, look who's decided to join.",Lucas: What are you guys doing?
Lucas: What are you guys doing?,boy1: We're gearing up.
boy1: We're gearing up.,boy2: Preparing for the hunt.
boy2: Preparing for the hunt.,"boy3: Hey, man. Relax. We're not killers like Eddie. We just wanna talk to him. Get him to admit his crime."
"boy3: Hey, man. Relax. We're not killers like Eddie. We just wanna talk to him. Get him to admit his crime.","boy1: Yeah, a little friendly neighborhood chat."
"boy1: Yeah, a little friendly neighborhood chat.",boy2: Hey. You didn't know Chris.
boy2: Hey. You didn't know Chris.,"boy3: If you're not up to this, you can go home. There's no judgment. You'll still be one of us, all right?"
"boy3: If you're not up to this, you can go home. There's no judgment. You'll still be one of us, all right?",Lucas: No. I'm good. I wanna help.
Lucas: No. I'm good. I wanna help.,boy3: All right. Let's capture us a freak.
boy3: All right. Let's capture us a freak.,Eddie: Shit. Oh shit. Jesus…
Eddie: Shit. Oh shit. Jesus…,"Dustin: Delivery service. So we got, uh, some good news and some bad news. How do you prefer it?"
"Dustin: Delivery service. So we got, uh, some good news and some bad news. How do you prefer it?","Eddie: Bad news first, always."
"Eddie: Bad news first, always.","Dustin: All right. Bad news. We tapped into the Hawkins PD dispatch with our Cerebro, and they're definitely looking for you. Also, they're, uh, pretty convinced you killed Chrissy. Like, 100% kind of convinced."
"Dustin: All right. Bad news. We tapped into the Hawkins PD dispatch with our Cerebro, and they're definitely looking for you. Also, they're, uh, pretty convinced you killed Chrissy. Like, 100% kind of convinced.",Eddie: And the good news?
Eddie: And the good news?,"Robin: Your name hasn't gone public yet. But if we found out about you, it's a matter of time before others do. And once that gets out, everyone and their shallow-minded mother is gonna be gunning for you."
"Robin: Your name hasn't gone public yet. But if we found out about you, it's a matter of time before others do. And once that gets out, everyone and their shallow-minded mother is gonna be gunning for you.","Eddie: Hunt the freak, right?"
"Eddie: Hunt the freak, right?",Robin: Exactly.
Robin: Exactly.,Eddie: Shit.
Eddie: Shit.,"Dustin: So, before that happens, we find Vecna, kill him, and prove your innocence."
"Dustin: So, before that happens, we find Vecna, kill him, and prove your innocence.","Eddie: That's all, Dustin? That's all?"
"Eddie: That's all, Dustin? That's all?","Dustin: Yeah, no, that's pretty much it."
"Dustin: Yeah, no, that's pretty much it.","Robin: Listen, Eddie, I know everything Dustin is saying sounds totally delusional, but we've actually been through this before. I mean, they have a… a few times, and… and I have once. Mine was more human-flesh-based, theirs was more smoke-related, but bottom line is, collectively, I really feel we got this."
"Robin: Listen, Eddie, I know everything Dustin is saying sounds totally delusional, but we've actually been through this before. I mean, they have a… a few times, and… and I have once. Mine was more human-flesh-based, theirs was more smoke-related, but bottom line is, collectively, I really feel we got this.","Steve: We usually rely on this girl who has super powers. But, uh, those went bye-bye, so…"
"Steve: We usually rely on this girl who has super powers. But, uh, those went bye-bye, so…",Robin: So we're technically in more of the... Kinda… Brainstorming phase.
Robin: So we're technically in more of the... Kinda… Brainstorming phase.,Dustin: Brainstorming. There… There's nothing to worry about.
Dustin: Brainstorming. There… There's nothing to worry about.,Eddie: Tarp. Tarp.
Eddie: Tarp. Tarp.,"officer: And after you talked to Wayne, what happened?"
"officer: And after you talked to Wayne, what happened?","unknown: I heard barking from the dog, and then… he was just gone."
"unknown: I heard barking from the dog, and then… he was just gone.",officer: See anyone lurking about? Who looks like they shouldn't be there?
officer: See anyone lurking about? Who looks like they shouldn't be there?,"unknown: No. No, no, there was nobody there."
"unknown: No. No, no, there was nobody there.",officer: 'Nobody.'
officer: 'Nobody.',unknown: I already told this to Officer Daniels. Did you look into Victor Creel?
unknown: I already told this to Officer Daniels. Did you look into Victor Creel?,"officer: Sorry, what's that?"
"officer: Sorry, what's that?",Daniels: Victor Creel. Wayne got it in her head that the old nut did this.
Daniels: Victor Creel. Wayne got it in her head that the old nut did this.,"officer: Victor's locked away. Don't need to worry about him, all right? Now, you said last you saw Fred, he was by the picnic tables. Do I have that right?"
"officer: Victor's locked away. Don't need to worry about him, all right? Now, you said last you saw Fred, he was by the picnic tables. Do I have that right?",unknown: Ms. Wheeler.
unknown: Ms. Wheeler.,officer: He was by the picnic tables. Is that correct? Ms. Wheeler? Does the picnic table ring a bell?
officer: He was by the picnic tables. Is that correct? Ms. Wheeler? Does the picnic table ring a bell?,"unknown: Hey, guys, there is a 4:00 p.m. showing of Police Academy 3. Could be fun."
"unknown: Hey, guys, there is a 4:00 p.m. showing of Police Academy 3. Could be fun.",Mike: Maybe we just stay home today.
Mike: Maybe we just stay home today.,Will: What is this? You guys just gonna mope around all break?
Will: What is this? You guys just gonna mope around all break?,Mike: No one's moping. It's just the movie is supposed to suck.
Mike: No one's moping. It's just the movie is supposed to suck.,"Will: Hey, El. I, uh, made you some Eggos, but they're getting kinda cold."
"Will: Hey, El. I, uh, made you some Eggos, but they're getting kinda cold.","Mike: Hey, that's cool. Hop's cabin, right? So, um, are we just not gonna talk about it?"
"Mike: Hey, that's cool. Hop's cabin, right? So, um, are we just not gonna talk about it?",Eleven: About what?
Eleven: About what?,"Mike: I don't know, just maybe, like, about yesterday or… Everything."
"Mike: I don't know, just maybe, like, about yesterday or… Everything.",Eleven: There's nothing to say.
Eleven: There's nothing to say.,"Mike: Yeah, I guess, um… I guess I'm just a little, uh… Guess I don't really understand. Why didn't you tell me what's going on here? I mean, you know I'm not exactly Mr. Popularity back at home. I mean, you've seen it. I've been bullied my entire life. I mean, I… I know what it's like."
"Mike: Yeah, I guess, um… I guess I'm just a little, uh… Guess I don't really understand. Why didn't you tell me what's going on here? I mean, you know I'm not exactly Mr. Popularity back at home. I mean, you've seen it. I've been bullied my entire life. I mean, I… I know what it's like.",Eleven: No. You don't.
Eleven: No. You don't.,Mike: Okay. What don't I understand?
Mike: Okay. What don't I understand?,Eleven: I am different. I do not belong.
Eleven: I am different. I do not belong.,Mike: You mean in Lenora?
Mike: You mean in Lenora?,Eleven: Anywhere.
Eleven: Anywhere.,"Mike: Come on, you… you can't actually believe that."
"Mike: Come on, you… you can't actually believe that.",Eleven: Everyone looks at me like… like I'm a monster.
Eleven: Everyone looks at me like… like I'm a monster.,Mike: They just don't know you.
Mike: They just don't know you.,Eleven: You think I'm a monster too.
Eleven: You think I'm a monster too.,Mike: What?
Mike: What?,Eleven: Yesterday. The way you looked at me. You… You were scared of me.
Eleven: Yesterday. The way you looked at me. You… You were scared of me.,"Mike: No. No. No, that's not… That's not true. I was surprised. Maybe I was a little upset in the moment, but, I mean… I'm sorry. I just… I didn't know what to do. I mean, it just was so crazy. It happened so fast. But it doesn't change anything. It doesn't matter. I… I care for you… So much."
"Mike: No. No. No, that's not… That's not true. I was surprised. Maybe I was a little upset in the moment, but, I mean… I'm sorry. I just… I didn't know what to do. I mean, it just was so crazy. It happened so fast. But it doesn't change anything. It doesn't matter. I… I care for you… So much.",Eleven: 'Care.' But you don't… you don't love me anymore?
Eleven: 'Care.' But you don't… you don't love me anymore?,Mike: What… Who… Who said that I didn't?
Mike: What… Who… Who said that I didn't?,Eleven: You never say it.
Eleven: You never say it.,Mike: I say it.
Mike: I say it.,"Eleven: You can't even write it, Mike. 'From Mike.' 'From Mike.' 'From Mike.' 'From Mike.' 'From.'"
"Eleven: You can't even write it, Mike. 'From Mike.' 'From Mike.' 'From Mike.' 'From Mike.' 'From.'","Mike: Okay, okay. Eleven, you're being ridiculous. What, like… What is this? You know what I think of you. You're the most incredible person in the world. And you can't let these mouth breathers ruin you. Ruin us. I mean, they're nobodies. They're nobodies. And you're a superhero."
"Mike: Okay, okay. Eleven, you're being ridiculous. What, like… What is this? You know what I think of you. You're the most incredible person in the world. And you can't let these mouth breathers ruin you. Ruin us. I mean, they're nobodies. They're nobodies. And you're a superhero.",Eleven: Not anymore.
Eleven: Not anymore.,Will: Ten bucks says Mom forgot something.
Will: Ten bucks says Mom forgot something.,Mike: I'm not taking that bet.
Mike: I'm not taking that bet.,"officer: Hi, does Jane Hopper live here?"
"officer: Hi, does Jane Hopper live here?","Jonathan: Uh, yeah. Um, what is this about?"
"Jonathan: Uh, yeah. Um, what is this about?",officer: Is Jane's father or mother around?
officer: Is Jane's father or mother around?,"Jonathan: Uh, no. No, her mom's out of town. I'm her brother. Um, stepbrother. But, uh… I'm sorry, what… uh, what is this about?"
"Jonathan: Uh, no. No, her mom's out of town. I'm her brother. Um, stepbrother. But, uh… I'm sorry, what… uh, what is this about?",officer: You may or may not be aware of an incident involving Jane at the Rink-O-Mania.
officer: You may or may not be aware of an incident involving Jane at the Rink-O-Mania.,Jonathan: That was an accident.
Jonathan: That was an accident.,officer: A warrant says otherwise.
officer: A warrant says otherwise.,"Jonathan: Come on, that's crazy. That doesn't need to happen."
"Jonathan: Come on, that's crazy. That doesn't need to happen.",officer: Hey there. You Jane Hopper?
officer: Hey there. You Jane Hopper?,"officer: You have the right to remain silent. Anything you say can and will be used against you in a court of law. You have the right to an attorney. If you cannot afford an attorney, one will be provided for you."
"officer: You have the right to remain silent. Anything you say can and will be used against you in a court of law. You have the right to an attorney. If you cannot afford an attorney, one will be provided for you.",Jonathan: Can you please tell us where you're taking her?
Jonathan: Can you please tell us where you're taking her?,"Mike: Are the cuffs really necessary? Officers, answer me."
"Mike: Are the cuffs really necessary? Officers, answer me.","Jonathan: Eleven. Eleven, listen to me. Okay? Eleven, will you please look at me? Everything's gonna be fine. I am going to fix this. Okay? Just… Just stay calm and everything's gonna be fine. Okay? Just… All you have to do is trust me. I promise. I'm gonna get you out. I promise!"
"Jonathan: Eleven. Eleven, listen to me. Okay? Eleven, will you please look at me? Everything's gonna be fine. I am going to fix this. Okay? Just… Just stay calm and everything's gonna be fine. Okay? Just… All you have to do is trust me. I promise. I'm gonna get you out. I promise!",Will: Has Mom's flight left yet?
Will: Has Mom's flight left yet?,"woman: Ladies and gentlemen, the captain has turned on the fasten seat belt sign. Please make sure your seat belts are securely fastened."
"woman: Ladies and gentlemen, the captain has turned on the fasten seat belt sign. Please make sure your seat belts are securely fastened.",Joyce: Do you think I should've just told them?
Joyce: Do you think I should've just told them?,Murray: What? Told who?
Murray: What? Told who?,Joyce: The kids. About Hopper. It… It just felt so wrong to lie to them like that.
Joyce: The kids. About Hopper. It… It just felt so wrong to lie to them like that.,"Murray: Mm. Right, right, right. Well… I'm not exactly an expert in parenting. But, for what little it's worth, I think you did the right thing. The responsible thing."
"Murray: Mm. Right, right, right. Well… I'm not exactly an expert in parenting. But, for what little it's worth, I think you did the right thing. The responsible thing.",Joyce: Responsible.
Joyce: Responsible.,"Murray: Your children, bless their mischievous souls… they like to get involved. This way, what? They play too much Nintendo, eat too much junk food, smoke some ganja, pound some beers, experiment sexually. What's the worst that can happen?"
"Murray: Your children, bless their mischievous souls… they like to get involved. This way, what? They play too much Nintendo, eat too much junk food, smoke some ganja, pound some beers, experiment sexually. What's the worst that can happen?","flight attendant: Excuse me, ma'am? Sorry to interrupt, but you're gonna need to fasten your seat belt."
"flight attendant: Excuse me, ma'am? Sorry to interrupt, but you're gonna need to fasten your seat belt.",Murray: Of course. Buckle up. Like this is really gonna save me if we crash.
Murray: Of course. Buckle up. Like this is really gonna save me if we crash.,"guard: What is this, American? What is taking you this long? Are you tired today?"
"guard: What is this, American? What is taking you this long? Are you tired today?",Hopper: Pig.
Hopper: Pig.,guard: What do you say?
guard: What do you say?,Hopper: Asshole!
Hopper: Asshole!,"Robin: Help me get this straight. Eddie's uncle, Wayne, thinks that Victor Creel escaped from Pennhurst Asylum and that he's the one running around committing these murders?"
"Robin: Help me get this straight. Eddie's uncle, Wayne, thinks that Victor Creel escaped from Pennhurst Asylum and that he's the one running around committing these murders?",Nancy: Pretty much.
Nancy: Pretty much.,"Robin: But Victor committed the eyeball murders, like, way back in the '50s."
"Robin: But Victor committed the eyeball murders, like, way back in the '50s.","Nancy: Well, '59."
"Nancy: Well, '59.","Robin: So, that means these murders predate Eleven in the Upside Down by about 30 years?"
"Robin: So, that means these murders predate Eleven in the Upside Down by about 30 years?",Nancy: Yeah.
Nancy: Yeah.,Robin: Which makes spooky Victor Creel like 70 years old.
Robin: Which makes spooky Victor Creel like 70 years old.,Nancy: Yep.
Nancy: Yep.,"Robin: So, he's a grandpa murderer who can turn invisible and lift people into the air."
"Robin: So, he's a grandpa murderer who can turn invisible and lift people into the air.",Nancy: It doesn't make sense. I know. That's why I said it was a shot in the dark.
Nancy: It doesn't make sense. I know. That's why I said it was a shot in the dark.,"Robin: I know. I just thought that by 'shot in the dark,' you were being modest or hiding something super solid up your sleeve that you were gonna wow us with later. But this is really, truly a shot in the dark. Like, we are snipers with blindfolds on who've been spun around 50 times."
"Robin: I know. I just thought that by 'shot in the dark,' you were being modest or hiding something super solid up your sleeve that you were gonna wow us with later. But this is really, truly a shot in the dark. Like, we are snipers with blindfolds on who've been spun around 50 times.",Nancy: Coming!
Nancy: Coming!,"Robin: Hi. Sorry, we're in a bit of a rush. Could we get the keys to the basement archives?"
"Robin: Hi. Sorry, we're in a bit of a rush. Could we get the keys to the basement archives?",librarian: Of course. Give me one sec.
librarian: Of course. Give me one sec.,Robin: Did I come off mean or condescending?
Robin: Did I come off mean or condescending?,Nancy: No.
Nancy: No.,"Robin: Right. Sorry. It's just, you seem annoyed. You don't know me well. I don't really have a filter or a strong grasp of social cues."
"Robin: Right. Sorry. It's just, you seem annoyed. You don't know me well. I don't really have a filter or a strong grasp of social cues.",Nancy: Okay.
Nancy: Okay.,"Robin: If I say something that upsets you, just know that I know it's a flaw. Believe me, my mother reminds me daily."
"Robin: If I say something that upsets you, just know that I know it's a flaw. Believe me, my mother reminds me daily.",Nancy: Got it.
Nancy: Got it.,"librarian: All right, ladies. Here you go. Have fun."
"librarian: All right, ladies. Here you go. Have fun.",Robin: Yep. We'll try.
Robin: Yep. We'll try.,Ms. Kelley: Max. Hi.
Ms. Kelley: Max. Hi.,"Max: Hi. I'm so sorry to bother you over break, but… do you have a minute to talk?"
"Max: Hi. I'm so sorry to bother you over break, but… do you have a minute to talk?","Ms. Kelley: Um, yeah, of course. Of course."
"Ms. Kelley: Um, yeah, of course. Of course.",Dustin: Okay. She's in.
Dustin: Okay. She's in.,"Steve: I'm missing collarbones, not eyes. So, we gonna talk about… it?"
"Steve: I'm missing collarbones, not eyes. So, we gonna talk about… it?","Dustin: Huh? Sorry, talk about what?"
"Dustin: Huh? Sorry, talk about what?",Steve: Your temporary insanity earlier today when you basically threw yourself at Nance?
Steve: Your temporary insanity earlier today when you basically threw yourself at Nance?,Dustin: That's not what happened.
Dustin: That's not what happened.,Steve: Pretty sure that's what happened. It was public. There were a lot of witnesses.
Steve: Pretty sure that's what happened. It was public. There were a lot of witnesses.,Dustin: You implying I still have a thing for Nance?
Dustin: You implying I still have a thing for Nance?,"Steve: No. I'm not implying. I'm stating. And, as it relates to your steadfast refusal to date Robin, it's pretty much the only logical explanation."
"Steve: No. I'm not implying. I'm stating. And, as it relates to your steadfast refusal to date Robin, it's pretty much the only logical explanation.","Dustin: That's not the only one. And as for Nance, I was just trying to protect a friend. A friend, Henderson. Okay?"
"Dustin: That's not the only one. And as for Nance, I was just trying to protect a friend. A friend, Henderson. Okay?",Steve: Okay. Don't wanna find her with her eyes sucked out of her skull by this Vecna creep.
Steve: Okay. Don't wanna find her with her eyes sucked out of her skull by this Vecna creep.,Dustin: You're bright red in the face right now.
Dustin: You're bright red in the face right now.,Steve: I'm not. I don't wanna talk about it. I'll punch you so hard your teeth will fall back out.
Steve: I'm not. I don't wanna talk about it. I'll punch you so hard your teeth will fall back out.,Dustin: Whoa. Too far.
Dustin: Whoa. Too far.,Steve: Not cool. Sorry.
Steve: Not cool. Sorry.,Dustin: Not cool. It's okay.
Dustin: Not cool. It's okay.,"Ms. Kelley: It's just, with everything that's happening, with all the murders, it's… it's making everything worse again. You've experienced trauma, Max, and when you keep your feelings, your pain, bottled up the way you do, it doesn't take much to trigger them again. So now, when it rains, it storms."
"Ms. Kelley: It's just, with everything that's happening, with all the murders, it's… it's making everything worse again. You've experienced trauma, Max, and when you keep your feelings, your pain, bottled up the way you do, it doesn't take much to trigger them again. So now, when it rains, it storms.","Max: Yeah, I know."
"Max: Yeah, I know.",Ms. Kelley: Do you think you're ready to talk more about that night?
Ms. Kelley: Do you think you're ready to talk more about that night?,Max: Billy! I live next door to where it happened.
Max: Billy! I live next door to where it happened.,Ms. Kelley: I'm sorry?
Ms. Kelley: I'm sorry?,"Max: To where Chrissy was murdered. The cops asked me a bunch of questions. Did they talk to you? I mean, I know you were seeing Chrissy."
"Max: To where Chrissy was murdered. The cops asked me a bunch of questions. Did they talk to you? I mean, I know you were seeing Chrissy.","Ms. Kelley: Max, you know I can't talk about Chrissy or any other student."
"Ms. Kelley: Max, you know I can't talk about Chrissy or any other student.","Max: Yeah, but, I mean, what if there was a serial killer on the loose in my neighborhood? Did Chrissy mention anything? Anything about who might have done this?"
"Max: Yeah, but, I mean, what if there was a serial killer on the loose in my neighborhood? Did Chrissy mention anything? Anything about who might have done this?","Ms. Kelley: Max, I'm… I'm sorry, I… I really can't discuss this. You wouldn't want me talking to any other students about you, right?"
"Ms. Kelley: Max, I'm… I'm sorry, I… I really can't discuss this. You wouldn't want me talking to any other students about you, right?","Max: If I were dead and it would help catch the killer, then yeah, I most definitely would."
"Max: If I were dead and it would help catch the killer, then yeah, I most definitely would.","Ms. Kelley: Well, let's leave that up to the police, shall we?"
"Ms. Kelley: Well, let's leave that up to the police, shall we?","Max: Yeah, you're right. The police totally have this under control. Can I use the bathroom?"
"Max: Yeah, you're right. The police totally have this under control. Can I use the bathroom?","Ms. Kelley: Sure. Up the stairs, to the left."
"Ms. Kelley: Sure. Up the stairs, to the left.",Max: Thanks.
Max: Thanks.,Dustin: Here she comes. Here she comes.
Dustin: Here she comes. Here she comes.,Steve: What'd she say?
Steve: What'd she say?,"Max: Nothing, just drive. Steve, drive."
"Max: Nothing, just drive. Steve, drive.",Steve: Okay.
Steve: Okay.,Patrick: No one's home.
Patrick: No one's home.,"Jason: So, now what?"
"Jason: So, now what?",Patrick: We keep looking.
Patrick: We keep looking.,Jason: The town's not that big. Only so many places these freaks can burrow.
Jason: The town's not that big. Only so many places these freaks can burrow.,Patrick: Where the hell is Sinclair?
Patrick: Where the hell is Sinclair?,Lucas: Dustin. It's Lucas. Do you copy? Dustin.
Lucas: Dustin. It's Lucas. Do you copy? Dustin.,Dustin: Lucas? Where the hell have you been?
Dustin: Lucas? Where the hell have you been?,Lucas: Just listen. Are you looking for Eddie?
Lucas: Just listen. Are you looking for Eddie?,"Dustin: We found him, no thanks to you."
"Dustin: We found him, no thanks to you.",Lucas: You found him?
Lucas: You found him?,Dustin: A boathouse on Coal Mill Road. Don't worry. He's safe.
Dustin: A boathouse on Coal Mill Road. Don't worry. He's safe.,"Lucas: You guys know he killed Chrissy, right?"
"Lucas: You guys know he killed Chrissy, right?",Dustin: That's bullshit. Eddie tried to save Chrissy.
Dustin: That's bullshit. Eddie tried to save Chrissy.,Lucas: Then why do all the cops say he did it?
Lucas: Then why do all the cops say he did it?,"Dustin: Lucas, you're so behind it's ridiculous, okay? Just meet us at school. We'll explain later."
"Dustin: Lucas, you're so behind it's ridiculous, okay? Just meet us at school. We'll explain later.",Lucas: I… I can't. I think some real bad shit's about to go down.
Lucas: I… I can't. I think some real bad shit's about to go down.,Dustin: What are you talking about? What bad shit?
Dustin: What are you talking about? What bad shit?,Jason: Sinclair! What the hell were you doing?
Jason: Sinclair! What the hell were you doing?,Lucas: I was… I was looking for clues.
Lucas: I was… I was looking for clues.,"Jason: Clues? What, freshman think he's Sherlock Holmes or something? Yo, let's go."
"Jason: Clues? What, freshman think he's Sherlock Holmes or something? Yo, let's go.",Lucas: I found one.
Lucas: I found one.,Jason: What?
Jason: What?,Lucas: A clue. I know where Eddie's hiding.
Lucas: A clue. I know where Eddie's hiding.,agent: You transporting a Jane Hopper?
agent: You transporting a Jane Hopper?,"officer: Yeah, what is this?"
"officer: Yeah, what is this?",agent: I'll take her off your hands.
agent: I'll take her off your hands.,Eleven: No! No!
Eleven: No! No!,"Owens: Hey, kiddo."
"Owens: Hey, kiddo.",Joyce: Come on. We're here.
Joyce: Come on. We're here.,Murray: Huh? Come on.
Murray: Huh? Come on.,attendant: Welcome to Alaska.
attendant: Welcome to Alaska.,"Murray: Oh, shit."
"Murray: Oh, shit.",attendant: Welcome to Alaska.
attendant: Welcome to Alaska.,"Murray: Oh, God. This is spring?"
"Murray: Oh, God. This is spring?",attendant: Welcome to Alaska.
attendant: Welcome to Alaska.,Murray: Welcome to Alaska.
Murray: Welcome to Alaska.,guard: Next! Next prisoner!
guard: Next! Next prisoner!,Robin: Anything… juicy over there?
Robin: Anything… juicy over there?,Nancy: Nothing new.
Nancy: Nothing new.,"Robin: Yep, same here. Victor seemed like a normal guy. Dead family, missing eyes, took a plea deal, sent to Pennhurst. Blah, blah, blah, blah."
"Robin: Yep, same here. Victor seemed like a normal guy. Dead family, missing eyes, took a plea deal, sent to Pennhurst. Blah, blah, blah, blah.",Nancy: What are we looking for exactly? Nance?
Nancy: What are we looking for exactly? Nance?,Robin: Any mention of dark wizards or alternate dimensions? Things in that vein?
Robin: Any mention of dark wizards or alternate dimensions? Things in that vein?,"Nancy: I don't know. Okay? It's starting to seem like this was just a big waste of time. You're obviously bored. Why don't you call Steve? I'm sure he'll pick you up. And I mean, I'm not really in danger here, so…"
"Nancy: I don't know. Okay? It's starting to seem like this was just a big waste of time. You're obviously bored. Why don't you call Steve? I'm sure he'll pick you up. And I mean, I'm not really in danger here, so…","Robin: You do know that Steve and I are, like, totally not a thing, right?"
"Robin: You do know that Steve and I are, like, totally not a thing, right?",Nancy: What?
Nancy: What?,"Robin: So, I figure you and Jonathan are still going strong 'cause you guys are going to college together. You're one of those unstoppable power couples, but I… I just… I wanted to make sure that you knew that Steve and I are just friends. Like, platonic with a capital P. Just in case that's adding any tension between us."
"Robin: So, I figure you and Jonathan are still going strong 'cause you guys are going to college together. You're one of those unstoppable power couples, but I… I just… I wanted to make sure that you knew that Steve and I are just friends. Like, platonic with a capital P. Just in case that's adding any tension between us.",Nancy: It wasn't.
Nancy: It wasn't.,Robin: Holy shit. The Weekly Watcher. I can't believe they have this.
